NAME,ESSROUND,EDITION,PRODDATE,IDNO,CNTRY,RESCLQ,RESRELQ,RESBAB,RESUNDQ,PREINTF,PREWHP,PRESD,PREPPIL,PREOREL,PRENREL,PREDK,PRENAP,PRENA,RESSWCD,INTLNGA,INTNUM,INTAGEA,INTGNDR,INTAGE,INTNUM1
ESS9INTe03,9,3,18.12.2020,37593,NL,3,4,3,3,2,0,0,0,0,0,0,1,0,1,DUT,484,55,2,NA,484
ESS9INTe03,9,3,18.12.2020,37610,NL,2,2,4,4,2,0,0,0,0,0,0,1,0,1,DUT,1521,55,2,NA,1521
ESS9INTe03,9,3,18.12.2020,37615,NL,3,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1294,52,2,NA,1904
ESS9INTe03,9,3,18.12.2020,37649,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1785,68,1,NA,1785
ESS9INTe03,9,3,18.12.2020,37756,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1718,61,1,NA,1718
ESS9INTe03,9,3,18.12.2020,37806,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1848,60,1,NA,1904
ESS9INTe03,9,3,18.12.2020,37857,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,617,56,2,NA,1904
ESS9INTe03,9,3,18.12.2020,37866,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1785,68,1,NA,1785
ESS9INTe03,9,3,18.12.2020,37954,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,18,52,2,NA,18
ESS9INTe03,9,3,18.12.2020,38031,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1115,66,1,NA,1115
ESS9INTe03,9,3,18.12.2020,38052,NL,3,4,4,4,2,0,0,0,0,0,0,1,0,1,DUT,216,54,2,NA,216
ESS9INTe03,9,3,18.12.2020,38132,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1008,57,1,NA,743
ESS9INTe03,9,3,18.12.2020,38165,NL,1,2,5,5,2,0,0,0,0,0,0,1,0,1,DUT,361,69,2,NA,361
ESS9INTe03,9,3,18.12.2020,38174,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,905,52,2,NA,905
ESS9INTe03,9,3,18.12.2020,38213,NL,5,3,4,2,1,0,1,0,0,0,0,0,0,2,DUT,716,63,1,NA,716
ESS9INTe03,9,3,18.12.2020,38218,NL,2,1,5,4,2,0,0,0,0,0,0,1,0,1,DUT,2313,55,2,NA,2313
ESS9INTe03,9,3,18.12.2020,38230,NL,3,3,4,4,2,0,0,0,0,0,0,1,0,2,DUT,1403,52,2,NA,1403
ESS9INTe03,9,3,18.12.2020,38234,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,484,55,2,NA,190
ESS9INTe03,9,3,18.12.2020,38267,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1115,66,1,NA,1115
ESS9INTe03,9,3,18.12.2020,38310,NL,2,1,5,4,2,0,0,0,0,0,0,1,0,1,DUT,216,54,2,NA,216
ESS9INTe03,9,3,18.12.2020,38401,NL,2,2,5,4,2,0,0,0,0,0,0,1,0,1,DUT,361,69,2,NA,361
ESS9INTe03,9,3,18.12.2020,38442,NL,1,2,5,5,2,0,0,0,0,0,0,1,0,1,DUT,716,63,1,NA,716
ESS9INTe03,9,3,18.12.2020,38472,NL,3,2,5,4,2,0,0,0,0,0,0,1,0,1,DUT,1521,55,2,NA,1521
ESS9INTe03,9,3,18.12.2020,38503,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1848,60,1,NA,1848
ESS9INTe03,9,3,18.12.2020,38563,NL,3,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1384,20,1,NA,1384
ESS9INTe03,9,3,18.12.2020,38576,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,716,63,1,NA,716
ESS9INTe03,9,3,18.12.2020,38589,NL,3,1,5,4,2,0,0,0,0,0,0,1,0,1,DUT,905,52,2,NA,905
ESS9INTe03,9,3,18.12.2020,38647,NL,3,2,5,3,2,0,0,0,0,0,0,1,0,1,DUT,1135,29,2,NA,1135
ESS9INTe03,9,3,18.12.2020,38656,NL,3,1,5,4,2,0,0,0,0,0,0,1,0,1,DUT,2495,63,1,NA,2495
ESS9INTe03,9,3,18.12.2020,38740,NL,3,1,4,4,2,0,0,0,0,0,0,1,0,1,DUT,738,48,2,NA,738
ESS9INTe03,9,3,18.12.2020,38754,NL,3,2,5,4,2,0,0,0,0,0,0,1,0,1,DUT,2506,67,1,NA,2506
ESS9INTe03,9,3,18.12.2020,38773,NL,3,2,5,5,2,0,0,0,0,0,0,1,0,1,DUT,352,61,2,NA,352
ESS9INTe03,9,3,18.12.2020,38831,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,522,26,1,NA,1904
ESS9INTe03,9,3,18.12.2020,38833,NL,1,2,5,5,2,0,0,0,0,0,0,1,0,1,DUT,955,61,2,NA,955
ESS9INTe03,9,3,18.12.2020,38860,NL,3,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,2495,63,1,NA,2495
ESS9INTe03,9,3,18.12.2020,38861,NL,3,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,911,62,1,NA,1400
ESS9INTe03,9,3,18.12.2020,38972,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,127,58,2,NA,111
ESS9INTe03,9,3,18.12.2020,39051,NL,4,1,4,4,2,0,0,0,0,0,0,1,0,1,DUT,1057,68,2,NA,1057
ESS9INTe03,9,3,18.12.2020,39196,NL,2,2,5,5,2,0,0,0,0,0,0,1,0,1,DUT,2475,55,2,NA,2475
ESS9INTe03,9,3,18.12.2020,39215,NL,2,4,5,4,2,0,0,0,0,0,0,1,0,1,DUT,1883,73,1,NA,1883
ESS9INTe03,9,3,18.12.2020,39262,NL,2,1,5,4,2,0,0,0,0,0,0,1,0,1,DUT,1848,60,1,NA,1848
ESS9INTe03,9,3,18.12.2020,39280,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,2219,58,2,NA,2219
ESS9INTe03,9,3,18.12.2020,39303,NL,2,2,5,4,2,0,0,0,0,0,0,1,0,1,DUT,715,57,2,NA,715
ESS9INTe03,9,3,18.12.2020,39307,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1790,61,2,NA,1790
ESS9INTe03,9,3,18.12.2020,39391,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1883,73,1,NA,1883
ESS9INTe03,9,3,18.12.2020,39396,NL,3,2,5,5,2,0,0,0,0,0,0,1,0,2,DUT,437,46,2,NA,437
ESS9INTe03,9,3,18.12.2020,39439,NL,3,3,4,4,1,1,0,0,0,0,0,0,0,1,DUT,111,60,1,NA,1904
ESS9INTe03,9,3,18.12.2020,39627,NL,4,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,715,57,2,NA,715
ESS9INTe03,9,3,18.12.2020,39628,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1400,32,1,NA,2244
ESS9INTe03,9,3,18.12.2020,39667,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1802,50,2,NA,1802
